"","workerid","feedback_seenBefore","feedback_anyProblems","feedback_problemDescription","feedback_comments","feedback_1"
"338","69e816058da70eddb5dbc3e1",NA,NA,NA,NA,0
"339","69e957ad6c65e153a1c65ae2",NA,NA,NA,NA,0
"340","69ed15278090fe4438301d5c",NA,NA,NA,NA,0
"341","69efe0b03221edd72686c185",NA,NA,NA,NA,0
"342","69f0438cc141b27ed949788e",NA,NA,NA,NA,0
"343","69f3d4f3fb7630947c56f1eb",NA,NA,NA,NA,0
"344","69f6484996726366cacd162c",NA,NA,NA,NA,0
"345","69f674db81cb46678aae6391",NA,NA,NA,NA,0
"346","69f7b962446b32b08d58a1df",NA,NA,NA,NA,0
"347","69f86a04fe802de5002bb70b",NA,NA,NA,NA,0
"348","69f8db35f08d6c337883fcb4",NA,NA,NA,NA,0
"349","69fb3314a5e95601464d1fea",NA,NA,NA,NA,0
"350","69fb86296fb6f0919bf31075",NA,NA,NA,NA,0
"351","69fcc8642de981c893eb6958",NA,NA,NA,NA,0
"352","69fce9e45d612732dd1ae4e2",NA,NA,NA,NA,0
"353","69fd3605435216c2d93bc72f",NA,NA,NA,NA,0
"354","6a00b0ca46e3f2822d0349b6",NA,NA,NA,NA,0
"355","6a00b4c7593a89490830c18c",NA,NA,NA,NA,0
"356","6a00dbcc626a780a8e5c07a4",NA,NA,NA,NA,0
"357","6a012d3c523e7311f4e55f61",NA,NA,NA,NA,0
"358","6a01e843af8198a220b44a18",NA,NA,NA,NA,0
"359","6a021dc98c730b8d3ce0deca",NA,NA,NA,NA,0
"360","6a023ad806e8158958e73b75",NA,NA,NA,NA,0
"361","6a04948f1e40214a25ff2563",NA,NA,NA,NA,0
"362","6a05131f0ad03d07dd77178e",NA,NA,NA,NA,0
"363","6a07687bad5809e8867bdffb",NA,NA,NA,NA,0
"364","6a0a0fd9f370053c3505dc0f",NA,NA,NA,NA,0
"365","6a0b7296246f70341f078e55",NA,NA,NA,NA,0
"366","6a0b756dd47d16a4c82f5589",NA,NA,NA,NA,0
"367","6a0dbb470d44c02c7ec444f0",NA,NA,NA,NA,0
"368","6a0dfefeb75ae8ac09c192c6",NA,NA,NA,NA,0
"369","6a0e0a9490e868c044e21936",NA,NA,NA,NA,0
"370","6a0e2d716e90edf1ea83dce1",NA,NA,NA,NA,0
"371","6a0f1056788a67850f057de4",NA,NA,NA,NA,0
"372","6a0fdfd2db4241c9e5eca29a",NA,NA,NA,NA,0
"373","6a14434573bcee3f17b7f762",NA,NA,NA,NA,0
"374","6a14c736578656591db6ea31",NA,NA,NA,NA,0
"375","6a14c84872f3851ab32e8c01",NA,NA,NA,NA,0
"376","6a14e67cf20909f60e34ae64",NA,NA,NA,NA,0
"377","6a14ed7d826b3c0b54334269",NA,NA,NA,NA,0
"378","6a150fcbc5238897c2c9408e",NA,NA,NA,NA,0
"379","6a1582166cefcdcbed565058",NA,NA,NA,NA,0
"380","6a15d5fb80117206e7200cf7",NA,NA,NA,NA,0
